,Series,k,centroidNum,Mean,stdDev,count
1,2,1296,1,,,0
2,2,1296,2,5.368673697,2.292467949,3
3,2,1296,3,4.372404291,1.781121076,5
4,2,1296,4,3.380324878,,1
9,2,1296,9,4.731475106,2.490031358,8
10,2,1296,10,4.701408346,,1
15,2,1296,15,2.758729765,2.073985323,5
16,2,1296,16,4.141945203,3.525491257,5
21,2,1296,21,10.29124449,,1
27,2,1296,27,6.213444692,,1
39,2,1296,39,2.233943815,1.931925229,8
45,2,1296,45,5.244373957,3.959814457,4
46,2,1296,46,5.713076612,,1
51,2,1296,51,6.819685792,2.466822543,3
52,2,1296,52,7.194567628,1.525839972,2
58,2,1296,58,2.639322932,2.296797308,5
81,2,1296,81,11.60618397,,1
231,2,1296,231,2.83642028,,1
255,2,1296,255,1.948254515,1.348761661,5
261,2,1296,261,5.097017787,,1
262,2,1296,262,1.932786619,1.144146928,6
267,2,1296,267,2.24821783,1.474869382,4
268,2,1296,268,8.271776658,8.472184843,2
275,2,1296,275,2.701749285,0.411824372,2
292,2,1296,292,6.329457101,2.602674185,3
297,2,1296,297,1.402601958,,1
472,2,1296,472,3.73468716,2.346331139,2
477,2,1296,477,3.059576671,,1
478,2,1296,478,5.722974909,2.47963252,3
484,2,1296,484,0.451867324,,1
508,2,1296,508,1.622903842,1.648246843,4
514,2,1296,514,1.074281302,,1
520,2,1296,520,0.484295432,,1
550,2,1296,550,1.727792005,,1
729,2,1296,729,1.7233438,,1
730,2,1296,730,3.304290771,3.236314624,4
766,2,1296,766,1043.956126,,1
801,2,1296,801,2.80444959,1.467184171,2
946,2,1296,946,0.354211522,0.336317378,2
,,,,31.32104966,2.332399296,
