,Series,k,centroidNum,Mean,stdDev,count
1,2,1296,1,,,0
2,2,1296,2,5.368673697300726,2.2924679488301845,3
3,2,1296,3,4.3724042910668475,1.7811210760087726,5
4,2,1296,4,3.380324877569421,,1
5,2,1296,5,,,0
6,2,1296,6,,,0
7,2,1296,7,,,0
8,2,1296,8,,,0
9,2,1296,9,4.7314751055796345,2.4900313583772777,8
10,2,1296,10,4.701408346140211,,1
11,2,1296,11,,,0
12,2,1296,12,,,0
13,2,1296,13,,,0
14,2,1296,14,,,0
15,2,1296,15,2.7587297652068528,2.0739853225059734,5
16,2,1296,16,4.1419452025004855,3.525491256886077,5
17,2,1296,17,,,0
18,2,1296,18,,,0
19,2,1296,19,,,0
20,2,1296,20,,,0
21,2,1296,21,10.291244492872387,,1
22,2,1296,22,,,0
23,2,1296,23,,,0
24,2,1296,24,,,0
25,2,1296,25,,,0
26,2,1296,26,,,0
27,2,1296,27,6.213444691973847,,1
28,2,1296,28,,,0
29,2,1296,29,,,0
30,2,1296,30,,,0
31,2,1296,31,,,0
32,2,1296,32,,,0
33,2,1296,33,,,0
34,2,1296,34,,,0
35,2,1296,35,,,0
36,2,1296,36,,,0
37,2,1296,37,,,0
38,2,1296,38,,,0
39,2,1296,39,2.233943815110516,1.931925229316305,8
40,2,1296,40,,,0
41,2,1296,41,,,0
42,2,1296,42,,,0
43,2,1296,43,,,0
44,2,1296,44,,,0
45,2,1296,45,5.24437395668712,3.9598144571848737,4
46,2,1296,46,5.713076611725968,,1
47,2,1296,47,,,0
48,2,1296,48,,,0
49,2,1296,49,,,0
50,2,1296,50,,,0
51,2,1296,51,6.819685792195159,2.4668225432598243,3
52,2,1296,52,7.19456762789035,1.5258399724890164,2
53,2,1296,53,,,0
54,2,1296,54,,,0
55,2,1296,55,,,0
56,2,1296,56,,,0
57,2,1296,57,,,0
58,2,1296,58,2.639322932206608,2.2967973076004027,5
59,2,1296,59,,,0
60,2,1296,60,,,0
61,2,1296,61,,,0
62,2,1296,62,,,0
63,2,1296,63,,,0
64,2,1296,64,,,0
65,2,1296,65,,,0
66,2,1296,66,,,0
67,2,1296,67,,,0
68,2,1296,68,,,0
69,2,1296,69,,,0
70,2,1296,70,,,0
71,2,1296,71,,,0
72,2,1296,72,,,0
73,2,1296,73,,,0
74,2,1296,74,,,0
75,2,1296,75,,,0
76,2,1296,76,,,0
77,2,1296,77,,,0
78,2,1296,78,,,0
79,2,1296,79,,,0
80,2,1296,80,,,0
81,2,1296,81,11.60618396805016,,1
82,2,1296,82,,,0
83,2,1296,83,,,0
84,2,1296,84,,,0
85,2,1296,85,,,0
86,2,1296,86,,,0
87,2,1296,87,,,0
88,2,1296,88,,,0
89,2,1296,89,,,0
90,2,1296,90,,,0
91,2,1296,91,,,0
92,2,1296,92,,,0
93,2,1296,93,,,0
94,2,1296,94,,,0
95,2,1296,95,,,0
96,2,1296,96,,,0
97,2,1296,97,,,0
98,2,1296,98,,,0
99,2,1296,99,,,0
100,2,1296,100,,,0
101,2,1296,101,,,0
102,2,1296,102,,,0
103,2,1296,103,,,0
104,2,1296,104,,,0
105,2,1296,105,,,0
106,2,1296,106,,,0
107,2,1296,107,,,0
108,2,1296,108,,,0
109,2,1296,109,,,0
110,2,1296,110,,,0
111,2,1296,111,,,0
112,2,1296,112,,,0
113,2,1296,113,,,0
114,2,1296,114,,,0
115,2,1296,115,,,0
116,2,1296,116,,,0
117,2,1296,117,,,0
118,2,1296,118,,,0
119,2,1296,119,,,0
120,2,1296,120,,,0
121,2,1296,121,,,0
122,2,1296,122,,,0
123,2,1296,123,,,0
124,2,1296,124,,,0
125,2,1296,125,,,0
126,2,1296,126,,,0
127,2,1296,127,,,0
128,2,1296,128,,,0
129,2,1296,129,,,0
130,2,1296,130,,,0
131,2,1296,131,,,0
132,2,1296,132,,,0
133,2,1296,133,,,0
134,2,1296,134,,,0
135,2,1296,135,,,0
136,2,1296,136,,,0
137,2,1296,137,,,0
138,2,1296,138,,,0
139,2,1296,139,,,0
140,2,1296,140,,,0
141,2,1296,141,,,0
142,2,1296,142,,,0
143,2,1296,143,,,0
144,2,1296,144,,,0
145,2,1296,145,,,0
146,2,1296,146,,,0
147,2,1296,147,,,0
148,2,1296,148,,,0
149,2,1296,149,,,0
150,2,1296,150,,,0
151,2,1296,151,,,0
152,2,1296,152,,,0
153,2,1296,153,,,0
154,2,1296,154,,,0
155,2,1296,155,,,0
156,2,1296,156,,,0
157,2,1296,157,,,0
158,2,1296,158,,,0
159,2,1296,159,,,0
160,2,1296,160,,,0
161,2,1296,161,,,0
162,2,1296,162,,,0
163,2,1296,163,,,0
164,2,1296,164,,,0
165,2,1296,165,,,0
166,2,1296,166,,,0
167,2,1296,167,,,0
168,2,1296,168,,,0
169,2,1296,169,,,0
170,2,1296,170,,,0
171,2,1296,171,,,0
172,2,1296,172,,,0
173,2,1296,173,,,0
174,2,1296,174,,,0
175,2,1296,175,,,0
176,2,1296,176,,,0
177,2,1296,177,,,0
178,2,1296,178,,,0
179,2,1296,179,,,0
180,2,1296,180,,,0
181,2,1296,181,,,0
182,2,1296,182,,,0
183,2,1296,183,,,0
184,2,1296,184,,,0
185,2,1296,185,,,0
186,2,1296,186,,,0
187,2,1296,187,,,0
188,2,1296,188,,,0
189,2,1296,189,,,0
190,2,1296,190,,,0
191,2,1296,191,,,0
192,2,1296,192,,,0
193,2,1296,193,,,0
194,2,1296,194,,,0
195,2,1296,195,,,0
196,2,1296,196,,,0
197,2,1296,197,,,0
198,2,1296,198,,,0
199,2,1296,199,,,0
200,2,1296,200,,,0
201,2,1296,201,,,0
202,2,1296,202,,,0
203,2,1296,203,,,0
204,2,1296,204,,,0
205,2,1296,205,,,0
206,2,1296,206,,,0
207,2,1296,207,,,0
208,2,1296,208,,,0
209,2,1296,209,,,0
210,2,1296,210,,,0
211,2,1296,211,,,0
212,2,1296,212,,,0
213,2,1296,213,,,0
214,2,1296,214,,,0
215,2,1296,215,,,0
216,2,1296,216,,,0
217,2,1296,217,,,0
218,2,1296,218,,,0
219,2,1296,219,,,0
220,2,1296,220,,,0
221,2,1296,221,,,0
222,2,1296,222,,,0
223,2,1296,223,,,0
224,2,1296,224,,,0
225,2,1296,225,,,0
226,2,1296,226,,,0
227,2,1296,227,,,0
228,2,1296,228,,,0
229,2,1296,229,,,0
230,2,1296,230,,,0
231,2,1296,231,2.836420279920631,,1
232,2,1296,232,,,0
233,2,1296,233,,,0
234,2,1296,234,,,0
235,2,1296,235,,,0
236,2,1296,236,,,0
237,2,1296,237,,,0
238,2,1296,238,,,0
239,2,1296,239,,,0
240,2,1296,240,,,0
241,2,1296,241,,,0
242,2,1296,242,,,0
243,2,1296,243,,,0
244,2,1296,244,,,0
245,2,1296,245,,,0
246,2,1296,246,,,0
247,2,1296,247,,,0
248,2,1296,248,,,0
249,2,1296,249,,,0
250,2,1296,250,,,0
251,2,1296,251,,,0
252,2,1296,252,,,0
253,2,1296,253,,,0
254,2,1296,254,,,0
255,2,1296,255,1.9482545154682556,1.3487616613309383,5
256,2,1296,256,,,0
257,2,1296,257,,,0
258,2,1296,258,,,0
259,2,1296,259,,,0
260,2,1296,260,,,0
261,2,1296,261,5.09701778724876,,1
262,2,1296,262,1.9327866185626899,1.1441469282557013,6
263,2,1296,263,,,0
264,2,1296,264,,,0
265,2,1296,265,,,0
266,2,1296,266,,,0
267,2,1296,267,2.2482178299584277,1.4748693816700653,4
268,2,1296,268,8.271776658140496,8.472184842955905,2
269,2,1296,269,,,0
270,2,1296,270,,,0
271,2,1296,271,,,0
272,2,1296,272,,,0
273,2,1296,273,,,0
274,2,1296,274,,,0
275,2,1296,275,2.701749284670207,0.4118243721766037,2
276,2,1296,276,,,0
277,2,1296,277,,,0
278,2,1296,278,,,0
279,2,1296,279,,,0
280,2,1296,280,,,0
281,2,1296,281,,,0
282,2,1296,282,,,0
283,2,1296,283,,,0
284,2,1296,284,,,0
285,2,1296,285,,,0
286,2,1296,286,,,0
287,2,1296,287,,,0
288,2,1296,288,,,0
289,2,1296,289,,,0
290,2,1296,290,,,0
291,2,1296,291,,,0
292,2,1296,292,6.329457101059248,2.602674185006754,3
293,2,1296,293,,,0
294,2,1296,294,,,0
295,2,1296,295,,,0
296,2,1296,296,,,0
297,2,1296,297,1.4026019581703937,,1
298,2,1296,298,,,0
299,2,1296,299,,,0
300,2,1296,300,,,0
301,2,1296,301,,,0
302,2,1296,302,,,0
303,2,1296,303,,,0
304,2,1296,304,,,0
305,2,1296,305,,,0
306,2,1296,306,,,0
307,2,1296,307,,,0
308,2,1296,308,,,0
309,2,1296,309,,,0
310,2,1296,310,,,0
311,2,1296,311,,,0
312,2,1296,312,,,0
313,2,1296,313,,,0
314,2,1296,314,,,0
315,2,1296,315,,,0
316,2,1296,316,,,0
317,2,1296,317,,,0
318,2,1296,318,,,0
319,2,1296,319,,,0
320,2,1296,320,,,0
321,2,1296,321,,,0
322,2,1296,322,,,0
323,2,1296,323,,,0
324,2,1296,324,,,0
325,2,1296,325,,,0
326,2,1296,326,,,0
327,2,1296,327,,,0
328,2,1296,328,,,0
329,2,1296,329,,,0
330,2,1296,330,,,0
331,2,1296,331,,,0
332,2,1296,332,,,0
333,2,1296,333,,,0
334,2,1296,334,,,0
335,2,1296,335,,,0
336,2,1296,336,,,0
337,2,1296,337,,,0
338,2,1296,338,,,0
339,2,1296,339,,,0
340,2,1296,340,,,0
341,2,1296,341,,,0
342,2,1296,342,,,0
343,2,1296,343,,,0
344,2,1296,344,,,0
345,2,1296,345,,,0
346,2,1296,346,,,0
347,2,1296,347,,,0
348,2,1296,348,,,0
349,2,1296,349,,,0
350,2,1296,350,,,0
351,2,1296,351,,,0
352,2,1296,352,,,0
353,2,1296,353,,,0
354,2,1296,354,,,0
355,2,1296,355,,,0
356,2,1296,356,,,0
357,2,1296,357,,,0
358,2,1296,358,,,0
359,2,1296,359,,,0
360,2,1296,360,,,0
361,2,1296,361,,,0
362,2,1296,362,,,0
363,2,1296,363,,,0
364,2,1296,364,,,0
365,2,1296,365,,,0
366,2,1296,366,,,0
367,2,1296,367,,,0
368,2,1296,368,,,0
369,2,1296,369,,,0
370,2,1296,370,,,0
371,2,1296,371,,,0
372,2,1296,372,,,0
373,2,1296,373,,,0
374,2,1296,374,,,0
375,2,1296,375,,,0
376,2,1296,376,,,0
377,2,1296,377,,,0
378,2,1296,378,,,0
379,2,1296,379,,,0
380,2,1296,380,,,0
381,2,1296,381,,,0
382,2,1296,382,,,0
383,2,1296,383,,,0
384,2,1296,384,,,0
385,2,1296,385,,,0
386,2,1296,386,,,0
387,2,1296,387,,,0
388,2,1296,388,,,0
389,2,1296,389,,,0
390,2,1296,390,,,0
391,2,1296,391,,,0
392,2,1296,392,,,0
393,2,1296,393,,,0
394,2,1296,394,,,0
395,2,1296,395,,,0
396,2,1296,396,,,0
397,2,1296,397,,,0
398,2,1296,398,,,0
399,2,1296,399,,,0
400,2,1296,400,,,0
401,2,1296,401,,,0
402,2,1296,402,,,0
403,2,1296,403,,,0
404,2,1296,404,,,0
405,2,1296,405,,,0
406,2,1296,406,,,0
407,2,1296,407,,,0
408,2,1296,408,,,0
409,2,1296,409,,,0
410,2,1296,410,,,0
411,2,1296,411,,,0
412,2,1296,412,,,0
413,2,1296,413,,,0
414,2,1296,414,,,0
415,2,1296,415,,,0
416,2,1296,416,,,0
417,2,1296,417,,,0
418,2,1296,418,,,0
419,2,1296,419,,,0
420,2,1296,420,,,0
421,2,1296,421,,,0
422,2,1296,422,,,0
423,2,1296,423,,,0
424,2,1296,424,,,0
425,2,1296,425,,,0
426,2,1296,426,,,0
427,2,1296,427,,,0
428,2,1296,428,,,0
429,2,1296,429,,,0
430,2,1296,430,,,0
431,2,1296,431,,,0
432,2,1296,432,,,0
433,2,1296,433,,,0
434,2,1296,434,,,0
435,2,1296,435,,,0
436,2,1296,436,,,0
437,2,1296,437,,,0
438,2,1296,438,,,0
439,2,1296,439,,,0
440,2,1296,440,,,0
441,2,1296,441,,,0
442,2,1296,442,,,0
443,2,1296,443,,,0
444,2,1296,444,,,0
445,2,1296,445,,,0
446,2,1296,446,,,0
447,2,1296,447,,,0
448,2,1296,448,,,0
449,2,1296,449,,,0
450,2,1296,450,,,0
451,2,1296,451,,,0
452,2,1296,452,,,0
453,2,1296,453,,,0
454,2,1296,454,,,0
455,2,1296,455,,,0
456,2,1296,456,,,0
457,2,1296,457,,,0
458,2,1296,458,,,0
459,2,1296,459,,,0
460,2,1296,460,,,0
461,2,1296,461,,,0
462,2,1296,462,,,0
463,2,1296,463,,,0
464,2,1296,464,,,0
465,2,1296,465,,,0
466,2,1296,466,,,0
467,2,1296,467,,,0
468,2,1296,468,,,0
469,2,1296,469,,,0
470,2,1296,470,,,0
471,2,1296,471,,,0
472,2,1296,472,3.73468715951536,2.3463311393146635,2
473,2,1296,473,,,0
474,2,1296,474,,,0
475,2,1296,475,,,0
476,2,1296,476,,,0
477,2,1296,477,3.0595766709904813,,1
478,2,1296,478,5.722974909025851,2.479632520285438,3
479,2,1296,479,,,0
480,2,1296,480,,,0
481,2,1296,481,,,0
482,2,1296,482,,,0
483,2,1296,483,,,0
484,2,1296,484,0.4518673240946214,,1
485,2,1296,485,,,0
486,2,1296,486,,,0
487,2,1296,487,,,0
488,2,1296,488,,,0
489,2,1296,489,,,0
490,2,1296,490,,,0
491,2,1296,491,,,0
492,2,1296,492,,,0
493,2,1296,493,,,0
494,2,1296,494,,,0
495,2,1296,495,,,0
496,2,1296,496,,,0
497,2,1296,497,,,0
498,2,1296,498,,,0
499,2,1296,499,,,0
500,2,1296,500,,,0
501,2,1296,501,,,0
502,2,1296,502,,,0
503,2,1296,503,,,0
504,2,1296,504,,,0
505,2,1296,505,,,0
506,2,1296,506,,,0
507,2,1296,507,,,0
508,2,1296,508,1.6229038422586548,1.6482468427678674,4
509,2,1296,509,,,0
510,2,1296,510,,,0
511,2,1296,511,,,0
512,2,1296,512,,,0
513,2,1296,513,,,0
514,2,1296,514,1.0742813015367716,,1
515,2,1296,515,,,0
516,2,1296,516,,,0
517,2,1296,517,,,0
518,2,1296,518,,,0
519,2,1296,519,,,0
520,2,1296,520,0.4842954318452968,,1
521,2,1296,521,,,0
522,2,1296,522,,,0
523,2,1296,523,,,0
524,2,1296,524,,,0
525,2,1296,525,,,0
526,2,1296,526,,,0
527,2,1296,527,,,0
528,2,1296,528,,,0
529,2,1296,529,,,0
530,2,1296,530,,,0
531,2,1296,531,,,0
532,2,1296,532,,,0
533,2,1296,533,,,0
534,2,1296,534,,,0
535,2,1296,535,,,0
536,2,1296,536,,,0
537,2,1296,537,,,0
538,2,1296,538,,,0
539,2,1296,539,,,0
540,2,1296,540,,,0
541,2,1296,541,,,0
542,2,1296,542,,,0
543,2,1296,543,,,0
544,2,1296,544,,,0
545,2,1296,545,,,0
546,2,1296,546,,,0
547,2,1296,547,,,0
548,2,1296,548,,,0
549,2,1296,549,,,0
550,2,1296,550,1.7277920052383138,,1
551,2,1296,551,,,0
552,2,1296,552,,,0
553,2,1296,553,,,0
554,2,1296,554,,,0
555,2,1296,555,,,0
556,2,1296,556,,,0
557,2,1296,557,,,0
558,2,1296,558,,,0
559,2,1296,559,,,0
560,2,1296,560,,,0
561,2,1296,561,,,0
562,2,1296,562,,,0
563,2,1296,563,,,0
564,2,1296,564,,,0
565,2,1296,565,,,0
566,2,1296,566,,,0
567,2,1296,567,,,0
568,2,1296,568,,,0
569,2,1296,569,,,0
570,2,1296,570,,,0
571,2,1296,571,,,0
572,2,1296,572,,,0
573,2,1296,573,,,0
574,2,1296,574,,,0
575,2,1296,575,,,0
576,2,1296,576,,,0
577,2,1296,577,,,0
578,2,1296,578,,,0
579,2,1296,579,,,0
580,2,1296,580,,,0
581,2,1296,581,,,0
582,2,1296,582,,,0
583,2,1296,583,,,0
584,2,1296,584,,,0
585,2,1296,585,,,0
586,2,1296,586,,,0
587,2,1296,587,,,0
588,2,1296,588,,,0
589,2,1296,589,,,0
590,2,1296,590,,,0
591,2,1296,591,,,0
592,2,1296,592,,,0
593,2,1296,593,,,0
594,2,1296,594,,,0
595,2,1296,595,,,0
596,2,1296,596,,,0
597,2,1296,597,,,0
598,2,1296,598,,,0
599,2,1296,599,,,0
600,2,1296,600,,,0
601,2,1296,601,,,0
602,2,1296,602,,,0
603,2,1296,603,,,0
604,2,1296,604,,,0
605,2,1296,605,,,0
606,2,1296,606,,,0
607,2,1296,607,,,0
608,2,1296,608,,,0
609,2,1296,609,,,0
610,2,1296,610,,,0
611,2,1296,611,,,0
612,2,1296,612,,,0
613,2,1296,613,,,0
614,2,1296,614,,,0
615,2,1296,615,,,0
616,2,1296,616,,,0
617,2,1296,617,,,0
618,2,1296,618,,,0
619,2,1296,619,,,0
620,2,1296,620,,,0
621,2,1296,621,,,0
622,2,1296,622,,,0
623,2,1296,623,,,0
624,2,1296,624,,,0
625,2,1296,625,,,0
626,2,1296,626,,,0
627,2,1296,627,,,0
628,2,1296,628,,,0
629,2,1296,629,,,0
630,2,1296,630,,,0
631,2,1296,631,,,0
632,2,1296,632,,,0
633,2,1296,633,,,0
634,2,1296,634,,,0
635,2,1296,635,,,0
636,2,1296,636,,,0
637,2,1296,637,,,0
638,2,1296,638,,,0
639,2,1296,639,,,0
