,dataset,fold,k,Average Mean Error,Average stdDev
1,1,1,16.0,5.6577396510571365,4.68392065942591
2,1,2,16.0,5.360895199600133,4.316001137334084
3,1,3,16.0,5.327417589231166,4.770509139929667
4,1,4,16.0,5.382537448975162,3.9660115452251326
5,1,5,16.0,5.32260014505992,4.535655864318166
6,1,6,16.0,5.330727807551742,3.691885784239656
7,1,7,16.0,6.996202534355859,4.761567510568761
8,1,8,16.0,5.612797539003216,4.009850829336642
9,1,9,16.0,5.847643798686361,4.94517598068755
10,1,10,16.0,5.465629915541574,4.568973625713589
11,2,1,16.0,7.565972135722683,5.404262008334513
12,2,2,16.0,5.798548095165564,6.459182943572294
13,2,3,16.0,6.4797615159805435,4.917608759987709
14,2,4,16.0,4.768355029393372,4.074756565210234
15,2,5,16.0,6.093956659778363,3.5942804471264473
16,2,6,16.0,7.349635978068972,4.112906741283537
17,2,7,16.0,5.284979825039473,3.688018031562966
18,2,8,16.0,6.642653139272918,4.740621843201942
19,2,9,16.0,12.093954765379753,4.374327264364378
20,2,10,16.0,5.830970934293166,4.186969610009905
21,3,1,16.0,25.22895619481784,16.397155119326015
22,3,2,16.0,6.458264254394541,3.718934617470698
23,3,3,16.0,6.6555633970726085,7.243985001891494
24,3,4,16.0,5.663313777441736,4.888256233076581
25,3,5,16.0,5.38877844064028,4.836576328365957
26,3,6,16.0,4.9979817879214234,4.233873915328571
27,3,7,16.0,5.141977894382317,4.372424323292693
28,3,8,16.0,6.149794333753599,4.82697817238012
29,3,9,16.0,5.08166148166116,3.8976415061559133
30,3,10,16.0,5.14672609726308,4.70540109466976
31,4,1,16.0,5.822281439214439,4.485353561240313
32,4,2,16.0,3.788157539044449,4.887445082670994
33,4,3,16.0,5.171093231536604,3.5184996012008622
34,4,4,16.0,5.691616805204654,5.903912796017222
35,4,5,16.0,4.949612290447959,3.781099841783493
36,4,6,16.0,5.967471093426827,5.302577437313581
37,4,7,16.0,4.717066754170213,4.292281552173972
38,4,8,16.0,6.323954649961083,3.988171549624927
39,4,9,16.0,4.719322457327878,5.708060128174013
40,4,10,16.0,5.487227494656436,4.418844878891269
41,5,1,16.0,4.819260521894716,3.6547054097325256
42,5,2,16.0,7.1486413141649665,7.387659797869933
43,5,3,16.0,5.872897439348176,4.476013675157791
44,5,4,16.0,4.766858034236391,4.269825313052784
45,5,5,16.0,5.757998185956518,4.181345412465891
46,5,6,16.0,5.4243843903394175,3.9430656880446846
47,5,7,16.0,6.087353725064403,4.403383652420211
48,5,8,16.0,5.357236125882447,4.871104557987266
49,5,9,16.0,4.691312389166472,4.128601572630192
50,5,10,16.0,5.611445273456145,4.400972162402642
51,6,1,16.0,7.158339489550738,5.391099193583976
52,6,2,16.0,6.061842733500177,4.908609914123393
53,6,3,16.0,5.628028397652795,3.8147449093461896
54,6,4,16.0,7.762557722063784,4.212186791011055
55,6,5,16.0,4.933774605815813,3.9032377864919336
56,6,6,16.0,4.702274783186795,4.1700551106844355
57,6,7,16.0,5.0084739361447905,4.451032618118984
58,6,8,16.0,6.230409612049712,3.8769830484533334
59,6,9,16.0,5.851233117551878,3.8331395835839692
60,6,10,16.0,3.969157469827662,2.8659891172752916
61,7,1,16.0,5.032269979374815,4.501442949134375
62,7,2,16.0,6.871762876844828,5.066847963203481
63,7,3,16.0,6.693658654003011,4.186076336507985
64,7,4,16.0,4.303352685825333,3.0951091154216512
65,7,5,16.0,5.491344814381628,4.015094716057642
66,7,6,16.0,5.556349410671871,4.511112517141001
67,7,7,16.0,4.407179588796691,4.479723635491183
68,7,8,16.0,4.6887543525276705,4.050756400831996
69,7,9,16.0,4.856633309013295,3.892959820412428
70,7,10,16.0,5.688544654050336,4.706583230942592
71,8,1,16.0,4.28242255566754,3.359012937828392
72,8,2,16.0,7.365592089064951,4.948029522315411
73,8,3,16.0,9.398779266786573,4.118065041869022
74,8,4,16.0,152.57356251155824,21.199430900728164
75,8,5,16.0,5.640933093506587,4.131060527578389
76,8,6,16.0,14.825579645656617,4.531811410244592
77,8,7,16.0,4.346855371608837,3.9220255185813797
78,8,8,16.0,5.301999654944758,4.432691254288379
79,8,9,16.0,5.884975766686531,3.698365050082118
80,8,10,16.0,5.135667340882138,3.318998134148114
81,9,1,16.0,5.9544272963137574,4.365269239962983
82,9,2,16.0,5.698385470450288,4.688000193571645
83,9,3,16.0,5.3203156727589,5.346448564277231
84,9,4,16.0,5.210909898896843,3.901553773561864
85,9,5,16.0,66.83952377591687,5.755220730753432
86,9,6,16.0,6.082578301504089,4.918286566760367
87,9,7,16.0,5.20513103751219,3.61326441976795
88,9,8,16.0,4.5613207405629765,4.834499378899202
89,9,9,16.0,5.587769999323923,4.521431432855101
90,9,10,16.0,3.994648483091469,4.526143109295171
91,10,1,16.0,16.714745026697123,4.759307354386877
92,10,2,16.0,5.552357729473425,4.042476017450473
93,10,3,16.0,5.501693109996301,4.284236952489814
94,10,4,16.0,5.714395557705262,4.342201352020374
95,10,5,16.0,5.773200623676604,4.170642004611902
96,10,6,16.0,6.123883909333089,4.961523196133904
97,10,7,16.0,6.687647104319813,4.864894271075383
98,10,8,16.0,4.664104502885149,3.7211834206774093
99,10,9,16.0,5.059995216365877,3.8615278867320004
100,10,10,16.0,5.258038489474565,3.9822204005706863
