,dataset,k,Average Mean Error,Average stdDev
1,1,1296.0,9.74034646588273,3.921416011128511
2,2,1296.0,31.32104966212549,2.3323992963238784
3,3,1296.0,5.883284899223699,2.711148600512802
4,4,1296.0,8.483479692968773,3.0295081924362335
5,5,1296.0,3.0275927500705984,1.9499087158435382
6,6,1296.0,6.221257612999661,2.338482549320858
7,7,1296.0,6.909572466189076,2.351402757137
8,8,1296.0,9.928680799183292,2.5199365790014583
9,9,1296.0,9.15288882736229,2.53791127499401
10,10,1296.0,8.425976638688581,2.496948897232413
