,Unnamed: 0,Series,k,Mean,stdDev
0,311,1,32,2.3597995897287736,2.9498810695862208
1,152,2,16,2.1680314179834923,1.8069131344559053
2,303,3,31,1.9744129478940962,2.7212742621552786
3,384,4,39,1.8827563346153835,2.40824379656562
4,245,5,25,1.5500203156830166,1.2710364423898712
5,36,6,4,1.7486673755660382,1.8918269631132263
6,637,7,64,2.321097425209313,3.279927484200894
7,408,8,41,2.150680692653013,2.185943478543686
8,39,9,4,2.411306404433964,2.0738362579831686
9,480,10,48,2.261508094628541,3.010802075815307
