,Series,k,Mean,stdDev
5301,1,1,2.208041873,2.299285928
5302,2,1,2.54728949,2.829230572
5303,3,1,3.316852781,3.755475844
5304,4,1,2.829147055,3.373109398
5305,5,1,2.497895194,2.968268107
5306,6,1,3.03108322,3.999526131
5307,7,1,2.779813765,3.365942702
5308,8,1,2.832576878,3.135398182
5309,9,1,3.360140033,3.863088477
5310,10,1,3.402163976,3.23890014
5311,1,2,2.016609204,2.197657502
5312,2,2,2.505851048,3.012730016
5313,3,2,2.700421041,3.298439383
5314,4,2,2.465972497,2.094148887
5315,5,2,2.213300436,2.928346275
5316,6,2,2.706441942,3.32225511
5317,7,2,2.54385312,3.011048797
5318,8,2,2.451108091,2.882370943
5319,9,2,2.846332355,2.521911582
5320,10,2,2.938440984,2.946144238
5321,1,3,2.046513928,2.429316129
5322,2,3,2.457615184,2.839874382
5323,3,3,2.516866415,2.928619017
5324,4,3,2.284894435,1.823613416
5325,5,3,2.119433726,2.757357656
5326,6,3,2.603957699,2.971693774
5327,7,3,2.465272868,2.720500005
5328,8,3,2.507883332,2.469888406
5329,9,3,2.880498431,2.647009755
5330,10,3,2.792013649,2.512801007
5331,1,4,1.95191004,2.262352186
5332,2,4,2.460154109,2.761188929
5333,3,4,2.494315043,2.936917087
5334,4,4,2.246667871,1.828996104
5335,5,4,2.070465438,2.708607823
5336,6,4,2.544769009,2.920559005
5337,7,4,2.273346141,2.293494571
5338,8,4,2.563571661,2.591048425
5339,9,4,2.624449085,2.199656525
5340,10,4,2.737318099,2.322161383
5341,1,5,1.986847066,2.271785126
5342,2,5,2.487470618,2.740113153
5343,3,5,2.420006157,2.717640887
5344,4,5,2.266881953,1.994811378
5345,5,5,2.150519095,2.686842979
5346,6,5,2.483680233,2.916355905
5347,7,5,2.090307579,1.98396906
5348,8,5,2.467700569,2.583708332
5349,9,5,2.599318971,2.071795517
5350,10,5,2.629915217,2.416891212
5351,1,6,1.941073802,2.026092375
5352,2,6,2.571317934,2.848282606
5353,3,6,2.42934748,2.705884726
5354,4,6,2.218362077,1.897214766
5355,5,6,2.09850553,2.693846496
5356,6,6,2.468853148,2.96369294
5357,7,6,2.127434916,1.943559621
5358,8,6,2.467521438,2.610985315
5359,9,6,2.469475506,1.984598651
5360,10,6,2.616050941,2.533197937
5361,1,7,1.954364449,2.134156701
5362,2,7,2.525249439,2.858539857
5363,3,7,2.394708831,2.717025388
5364,4,7,2.229343928,2.02448265
5365,5,7,2.184808385,2.817426352
5366,6,7,2.500430215,3.041742847
5367,7,7,2.037433255,1.816605667
5368,8,7,2.487404626,2.662321297
5369,9,7,2.575319656,2.100982119
5370,10,7,2.539193831,2.470190414
5371,1,8,1.944915667,2.072730312
5372,2,8,2.501259574,2.918287846
5373,3,8,2.34839897,2.691600258
5374,4,8,2.188910495,1.935077706
5375,5,8,2.151253968,2.753600553
5376,6,8,2.464574407,3.012509094
5377,7,8,1.966306309,1.733452479
5378,8,8,2.47200378,2.690600857
5379,9,8,2.542865567,2.027489307
5380,10,8,2.531709113,2.492462625
5381,1,9,1.923639718,2.000630526
5382,2,9,2.484654769,2.877980757
5383,3,9,2.290765563,2.629097698
5384,4,9,2.145906388,1.858326999
5385,5,9,2.111755229,2.682385773
5386,6,9,2.417005003,2.917656784
5387,7,9,1.982162002,1.785731348
5388,8,9,2.418711693,2.696460378
5389,9,9,2.486229265,1.98482566
5390,10,9,2.511044585,2.492785805
5391,1,10,1.901970906,1.947556554
5392,2,10,2.520159602,2.877691652
5393,3,10,2.302233516,2.691559725
5394,4,10,2.116459685,1.800016451
5395,5,10,2.010003392,2.65499119
5396,6,10,2.42950417,2.889221079
5397,7,10,1.955077636,1.764250512
5398,8,10,2.457733,2.656469101
5399,9,10,2.415537083,1.968306954
5400,10,10,2.462869132,2.493520762
5401,1,11,1.887109736,1.921769957
5402,2,11,2.541888273,2.932656537
5403,3,11,2.320305065,2.7165386
5404,4,11,2.073291132,1.749365378
5405,5,11,1.984804541,2.623902813
5406,6,11,2.408189457,2.8249585
5407,7,11,1.954639017,1.720244638
5408,8,11,2.434047702,2.664462005
5409,9,11,2.399664664,1.982146218
5410,10,11,2.47171992,2.523286788
5411,1,12,1.848245088,1.888717157
5412,2,12,2.529421038,2.97453662
