,dataset,k with min Average Mean Error,Average Mean Error at k,Average stdDev at k
1,1,41,2.1203869292015645,2.389743604612689
2,2,35,2.1185076438190023,2.330946813489667
3,3,39,2.120214136944444,2.343546291828422
4,4,39,2.122089962387759,2.3452109744169407
5,5,39,2.122707997832075,2.3392315250307534
6,6,39,2.122234215005281,2.3364695531654545
7,7,39,2.1208671190810002,2.339882293508563
8,8,39,2.11824741018378,2.3409795444432993
9,9,39,2.119204169490082,2.3390615240768176
10,10,39,2.118872887356724,2.3389738320564164
