,dataset,k,Average Mean Error,Average stdDev
1,1,1,2.9019692037735845,3.4057129049275416
2,1,2,2.5333664131556604,2.7456222604789167
3,1,3,2.43032581731761,2.610191179028011
4,1,4,2.381525637193396,2.502977360271678
5,1,5,2.3677921092641503,2.4660534763557562
6,1,6,2.360985943333333,2.492638198720838
7,1,7,2.3477580870269543,2.4877564104710332
8,1,8,2.319268092977594,2.4879371054709862
9,1,9,2.306885293612159,2.469411405568253
10,1,10,2.294381186116981,2.4326252392318546
11,1,11,2.2807164764819894,2.3785997524407954
12,1,12,2.2596935179944966,2.3563923681285304
13,1,13,2.233081508640784,2.3173085197935785
14,1,14,2.2212955827601077,2.315385662881771
15,1,15,2.210470873835849,2.298313837624713
16,1,16,2.2058202530913915,2.294224222678336
17,1,17,2.1959322396903445,2.2903828109017117
18,1,18,2.1885493520319708,2.2775784232139067
19,1,19,2.1798975090054618,2.2695242454267786
20,1,20,2.1757634719066035,2.2790951576390013
21,1,21,2.1680302253679242,2.2735957288990702
22,1,22,2.158688584638936,2.272518058913119
23,1,23,2.1512953466345364,2.2728025694668106
24,1,24,2.141350494365959,2.2829428997406183
25,1,25,2.1408795648309433,2.2806439025197847
26,1,26,2.1399933485076192,2.2857560613578856
27,1,27,2.1377350067641507,2.291362424452898
28,1,28,2.1362102030616574,2.2980481691796277
29,1,29,2.1315286850152892,2.3022225290560905
30,1,30,2.1333686022578617,2.3184596783280487
31,1,31,2.1301385174735237,2.321284731991333
32,1,32,2.125978384533903,2.329315694450458
33,1,33,2.126407743256718,2.3360278889273953
34,1,34,2.123722653579911,2.3452905613312085
35,1,35,2.12294769169946,2.3533990095360826
36,1,36,2.120886701729035,2.360385330729863
37,1,37,2.1229350808472707,2.366589088069607
38,1,38,2.1205474622994043,2.3745651471311984
39,1,39,2.121841589272859,2.380398026720802
40,1,40,2.1248992337042454,2.3892071511514428
41,1,41,2.1203869292015645,2.389743604612689
42,1,42,2.1228110989739437,2.3958979682087134
43,1,43,2.127763917485081,2.402732457624068
44,1,44,2.134144260506646,2.4085644282597163
45,1,45,2.134525558140461,2.4165901170796893
46,1,46,2.137713115450779,2.421862360495108
47,1,47,2.139544471830188,2.4280586135508355
48,1,48,2.1446696893907236,2.432488823889195
49,1,49,2.1468058638711973,2.440291244418101
50,1,50,2.147875802003585,2.4474728310715
51,1,51,2.150642771669626,2.451482268772212
52,1,52,2.1546620414664366,2.4548397414288883
53,1,53,2.1550841306851187,2.4620450234228617
54,1,54,2.156083434097659,2.4643777499132065
55,1,55,2.1586726873905655,2.4662027758380853
56,1,56,2.1637943398210915,2.4662911788726474
57,1,57,2.1688810607619993,2.472109575326247
58,1,58,2.1690305675372477,2.4762426711890115
59,1,59,2.171974625502558,2.4837565208602337
60,1,60,2.1745683555584896,2.485916133583289
61,1,61,2.1761785368662228,2.49093816377721
62,1,62,2.18122955823661,2.496293876514625
63,1,63,2.1850883364582208,2.4974494221275294
64,1,64,2.1891810334049233,2.5035171861354453
65,1,65,2.1931552186243826,2.507421490993667
66,1,66,2.1978641397485714,2.5119872401442636
67,1,67,2.2001136061796673,2.512861293484635
68,1,68,2.2030571563379575,2.51786449486721
69,1,69,2.209895398289718,2.520730842293796
70,1,70,2.2121066443702153,2.523837950092843
71,1,71,2.214838356000133,2.530324965231558
72,1,72,2.2171528510171647,2.534325841343592
73,1,73,2.220532688365727,2.5358623972690775
74,1,74,2.2244852707723095,2.541103439892777
75,1,75,2.227149729163899,2.5425861764358664
76,1,76,2.2286566098171545,2.5472059591650695
77,1,77,2.232295519956628,2.550262516374443
78,1,78,2.2330734946879534,2.551434210714608
79,1,79,2.2362971035241217,2.556373309051594
80,1,80,2.238384512607193,2.559855695341658
81,1,81,2.242525464625786,2.562583219987352
82,1,82,2.2446249405722503,2.5637807997225233
83,1,83,2.2457085573468962,2.5667842126839093
84,1,84,2.2491918670356013,2.5683373919639947
85,1,85,2.2511880534419526,2.5712891123147075
86,1,86,2.253931172442079,2.5757542175522756
87,1,87,2.2541804924174795,2.5775382252545502
88,1,88,2.255815823643439,2.579919213611578
89,1,89,2.2587070527518547,2.5839943346452214
90,1,90,2.2607243264022,2.5864205209449977
91,1,91,2.265012170732013,2.5900250788329937
92,1,92,2.26748996542504,2.5930082047533403
93,1,93,2.269337278548792,2.597091377522559
94,1,94,2.2717631294122835,2.6002510310724665
95,1,95,2.274391771293743,2.6036941987171383
96,1,96,2.2760580364938083,2.6079704595496493
97,1,97,2.2774965422688185,2.6106679152918533
98,1,98,2.279814143568251,2.613313172192419
99,1,99,2.2819516625130545,2.6162918479438693
100,1,100,2.2843020601405657,2.619094462226806
101,1,101,2.286927937801886,2.62104773791227
102,1,102,2.2887027905669624,2.6225631834831575
103,1,103,2.29184951913812,2.6239508280027666
104,1,104,2.2927104129560956,2.6255109095177565
105,1,105,2.2958406624425867,2.628918622478745
106,1,106,2.298093724321288,2.631652183213658
107,2,1,2.8820805139575474,3.321763107447923
108,2,2,2.554075460556603,2.7422717815226645
109,2,3,2.459479498765723,2.539573071313532
110,2,4,2.4095079035801885,2.4754882360727253
111,2,5,2.3889934101556607,2.468256318792444
112,2,6,2.368163717871069,2.4715227806608753
113,2,7,2.347058257541105,2.457893061114602
114,2,8,2.324223280853774,2.4534975307167146
115,2,9,2.2990012105922424,2.4324710739343076
116,2,10,2.2849015342726413,2.4061216507229934
117,2,11,2.268926540909091,2.358198180883499
118,2,12,2.252248410342767,2.3350389753941325
119,2,13,2.2265061258327288,2.310145523289611
120,2,14,2.2140302854123988,2.3037040820249004
121,2,15,2.201081554472641,2.287041578647078
122,2,16,2.1927524875480535,2.276821572868557
123,2,17,2.1866110344847387,2.2718368166693907
124,2,18,2.1800055321244756,2.2667324912319633
125,2,19,2.1732254872316283,2.2645115389546473
126,2,20,2.1704457588018866,2.275212707574209
127,2,21,2.1635756902151835,2.268345772420702
128,2,22,2.1558693571970413,2.266877809215438
129,2,23,2.146983963633921,2.2649158074283298
130,2,24,2.1394955492753533,2.270011938173697
131,2,25,2.1333910417349053,2.2682629608522946
132,2,26,2.130075317556966,2.271629981226703
133,2,27,2.1250163127341017,2.2748188017249267
134,2,28,2.121900184764488,2.2814698586905378
135,2,29,2.12206105343136,2.2860268970546063
136,2,30,2.1233958590647797,2.2962818472566324
137,2,31,2.1217354292051125,2.301760224492945
138,2,32,2.121132044853478,2.311128244548664
139,2,33,2.121002391088193,2.3173955296767357
140,2,34,2.1189047169915374,2.325039138921574
141,2,35,2.1185076438190023,2.330946813489667
142,2,36,2.1191811784010732,2.3371695986561085
143,2,37,2.121014328295384,2.3426256678302653
144,2,38,2.1203272710611962,2.349955733457304
145,2,39,2.1215628050576916,2.3553529306568723
146,2,40,2.123180943424528,2.3609090745678545
147,2,41,2.121981025676253,2.361841970237651
148,2,42,2.1254895975033685,2.3679820457281906
149,2,43,2.1274090771384375,2.376575079586949
150,2,44,2.1311443386298228,2.3849327341014104
151,2,45,2.132217579276624,2.391576594005863
152,2,46,2.135623899329778,2.3957557871612596
153,2,47,2.13774669582236,2.4043534595791742
154,2,48,2.142813364502751,2.4093129900436994
