,dataset,k,Average Mean Error,Average stdDev
1,1,1,2.901969203773584,3.4057129049275416
2,1,2,2.534048231363356,2.7474151336930324
3,1,3,2.4301664343047746,2.610830389522963
4,1,4,2.3806896518068297,2.502640549883648
5,1,5,2.3659142617426827,2.46395768161248
6,1,6,2.357841037475235,2.4873924928212388
7,1,7,2.344151680299171,2.4815157708526585
8,1,8,2.315976049593363,2.4823486191425843
9,1,9,2.30352458690363,2.463410728128296
10,1,10,2.2914154991162317,2.4285504557699706
11,1,11,2.2786293937168183,2.3764129413410773
12,1,12,2.2582848120411407,2.3554303580049614
13,1,13,2.232548696597187,2.3175766065246988
14,1,14,2.2211366180129124,2.315911761461115
15,1,15,2.2105921299429534,2.2986316620085234
16,1,16,2.205913756124052,2.2940963532430194
17,1,17,2.19646899788947,2.290321565696326
18,1,18,2.1894719348536675,2.277710055324496
19,1,19,2.1813465249201345,2.269498045354411
20,1,20,2.177382786361308,2.27847609396834
21,1,21,2.1697960625503523,2.2728672192814594
22,1,22,2.1607653705399885,2.2715823354327216
23,1,23,2.153395838541958,2.271553096991478
24,1,24,2.143332992273217,2.28130447988313
25,1,25,2.1429089712703226,2.278949756017929
26,1,26,2.1422055474908808,2.283374677911401
27,1,27,2.1399872893306218,2.2883962818297823
28,1,28,2.1381603467664885,2.294620064376975
29,1,29,2.1333879708578163,2.298429368249533
30,1,30,2.135049545587907,2.3139888588230257
31,1,31,2.1319824458568433,2.3166469222245616
32,1,32,2.127522026462003,2.324504200191968
33,1,33,2.1278939624402478,2.3305898118472568
34,1,34,2.1252114166938,2.3393328534681386
35,1,35,2.124450095507235,2.346808480966879
36,1,36,2.1223709063831833,2.353533782146818
37,1,37,2.1241151240388527,2.359305777858155
38,1,38,2.1216297073223283,2.366902084596441
39,1,39,2.122832339449139,2.372406192861572
40,1,40,2.1257272886536906,2.3806319560278655
41,1,41,2.121160816063417,2.3814921538393317
42,1,42,2.123107644947053,2.38774539452961
43,1,43,2.12766773981794,2.394341524892822
44,1,44,2.1340036279215657,2.3997326718844083
45,1,45,2.1340938871858492,2.4075854084108066
46,1,46,2.1372711981529653,2.4125657298895327
47,1,47,2.139018049829095,2.418484653861696
48,1,48,2.144023881597378,2.4226184488874614
49,1,49,2.146007914149641,2.430158763697899
50,1,50,2.146796484817452,2.4372283186352015
51,1,51,2.1490844135982456,2.4414140969681797
52,1,52,2.15286523611444,2.444745723612864
53,1,53,2.15309153733202,2.4517873430148454
54,1,54,2.153987713502845,2.45399483554182
55,1,55,2.1566241927948346,2.4556455466756413
56,1,56,2.161540600071283,2.4559405919422614
57,1,57,2.166296366385294,2.46164906328742
58,1,58,2.1663418763261326,2.465615951149351
59,1,59,2.169144132282315,2.472915234673878
60,1,60,2.1717815176021347,2.4749940882610604
61,1,61,2.1732146831381343,2.4798064373644078
62,1,62,2.1780181584413434,2.484985424098309
63,1,63,2.1811794039595567,2.4865815767097015
64,1,64,2.184827077118899,2.4926676882529883
65,1,65,2.188551787462591,2.4965698142643284
66,1,66,2.1931725468488943,2.500924935642713
67,1,67,2.195329684091478,2.501744372218897
68,1,68,2.1981653600659845,2.5066248076534468
69,1,69,2.204722107429546,2.5094398454723317
70,1,70,2.2070112456610462,2.5123092057598377
71,1,71,2.2095628201852002,2.518591886251932
72,1,72,2.211716455764861,2.5224917489407845
73,1,73,2.2150089895660714,2.523928508266435
74,1,74,2.218833182939364,2.528982449764469
75,1,75,2.2214522576426012,2.5303789907513363
76,1,76,2.222910464855064,2.5348441888502706
77,1,77,2.2264291126375846,2.5377240187982713
78,1,78,2.2271676103309916,2.5388707880565997
79,1,79,2.2303322021656276,2.5435737250269392
80,1,80,2.2324237272299383,2.5468992145145837
81,1,81,2.2363931971297233,2.5495516411398924
82,1,82,2.2381989822715633,2.55101278724412
83,1,83,2.2390855011651185,2.5540891636086687
84,1,84,2.242493419285871,2.555554321469811
85,1,85,2.2444634097310385,2.5584082750062755
86,1,86,2.247126245095081,2.562730707867137
87,1,87,2.247438388383556,2.564431237833127
88,1,88,2.248905859165272,2.566778624244963
89,1,89,2.2517118742129565,2.5706608723127733
90,1,90,2.253571727872068,2.5731159373428074
91,1,91,2.2576024634555427,2.576641333713959
92,1,92,2.2599902671807657,2.579549354910453
93,1,93,2.261810597966548,2.5834784216139535
94,1,94,2.2642851251495513,2.586429039825467
95,1,95,2.266863747099619,2.589723048088345
96,1,96,2.2685670148449657,2.5937942928705633
97,1,97,2.270016734306546,2.5963727578507374
98,1,98,2.2722220606752686,2.5989006724541697
99,1,99,2.2743503025632092,2.6016985948628473
100,1,100,2.2766005185271743,2.604433430674649
101,1,101,2.2791688126486456,2.6063547016114086
102,1,102,2.280815577453125,2.607940672876245
103,1,103,2.283863012496971,2.609375047823209
104,1,104,2.284750847516959,2.61086724557124
105,1,105,2.287838469303126,2.6141078067651335
106,1,106,2.2899660915492372,2.6168262730698792
107,2,1,2.862191824141509,3.237813309968304
108,2,2,2.5748921800944644,2.740456162081253
109,2,3,2.488447377561301,2.4698814033637726
110,2,4,2.4364929273880955,2.4463413234277938
111,2,5,2.4087067738854064,2.4658793724449626
112,2,6,2.3738723972599085,2.4453835804938153
113,2,7,2.3445019046256723,2.4235117959817574
114,2,8,2.3272238469734248,2.414624032523392
115,2,9,2.2898477674389275,2.3921646369671565
116,2,10,2.2746858318132137,2.3773423885850766
117,2,11,2.2568755943896273,2.337278744931275
118,2,12,2.244614726407082,2.3140455017379074
119,2,13,2.2202438227852404,2.3033755286223587
120,2,14,2.207222337875963,2.2923579763840585
121,2,15,2.1924945411221994,2.2764737218931668
122,2,16,2.1807783695657674,2.259805651506369
123,2,17,2.1785900927651722,2.253430192743246
124,2,18,2.1730702440863645,2.2557374356701483
125,2,19,2.168293968938392,2.2589820199588395
126,2,20,2.1668909312143145,2.27032545601121
127,2,21,2.161122736648967,2.2617730872254547
128,2,22,2.1550626941418978,2.2599243027053824
129,2,23,2.144923402653389,2.2558063272840934
130,2,24,2.140098751284896,2.2554694600898975
131,2,25,2.1286543913978035,2.2542799427243487
132,2,26,2.1228152411651657,2.2556426974365187
133,2,27,2.1151568233991864,2.2561092991215412
134,2,28,2.110539349433816,2.2623049541819276
135,2,29,2.115216156322533,2.2667892520582402
136,2,30,2.115781159440444,2.2708359975474774
137,2,31,2.1155456752027235,2.278544465456633
138,2,32,2.118377834164269,2.2885339381319865
139,2,33,2.1173727299371667,2.294411823999734
140,2,34,2.1157373458923376,2.300283477940696
141,2,35,2.1157292900092193,2.3036479250383333
142,2,36,2.11872626214534,2.3090027211278925
143,2,37,2.1200951675705113,2.3134813633705975
144,2,38,2.120893289255917,2.319914484522331
145,2,39,2.122092116213554,2.324372447593105
146,2,40,2.122135434522574,2.3265990910999084
147,2,41,2.124084892259225,2.3279096199154368
148,2,42,2.1286372878487954,2.333537049722021
149,2,43,2.1273111192194176,2.3434435065662766
150,2,44,2.128360210327778,2.3537415089591094
151,2,45,2.1300695839204224,2.358735087695126
152,2,46,2.133374171547858,2.3618633198428727
153,2,47,2.1355377655115655,2.3725362942622237
154,2,48,2.1402433982134883,2.3777794861100774
155,2,49,2.143929092648361,2.384126217268583
156,2,50,2.1474051159052845,2.3891583666641996
157,2,51,2.1503590165525943,2.39646928683747
158,2,52,2.15328578148249,2.3975159564841606
159,2,53,2.1565648963603548,2.402898618253907
160,2,54,2.1580211977759096,2.4082662281508003
161,2,55,2.1607201301670087,2.41415186022708
162,2,56,2.164796723312254,2.422151473934915
163,2,57,2.1654984318917796,2.4261281829950105
164,2,58,2.1678561696345464,2.4275437096068044
165,2,59,2.1690148639393056,2.4310085134813617
166,2,60,2.1713763630883274,2.435114464489035
167,2,61,2.1736924208749047,2.4413256447837135
168,2,62,2.1776788942217493,2.4467373761513427
169,2,63,2.1770903025691175,2.4479702385416466
170,2,64,2.179825525840047,2.4509559407780594
171,2,65,2.1832405423730217,2.4556069528749833
172,2,66,2.185445111303893,2.459018672278584
173,2,67,2.188723471247467,2.4607564383232026
174,2,68,2.1906610349449824,2.462747507832135
175,2,69,2.1953575996026666,2.465067636081785
176,2,70,2.1980931916696456,2.4677580076559464
177,2,71,2.2024572695628657,2.473723307265357
178,2,72,2.205598905784469,2.4771462223880842
179,2,73,2.207509647362007,2.4792312045122493
