Country_Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.75099792,80.9199733,87.67627214,98.61208341,111.2714724,104.657881,127.603992,143.8496268,132.2712785,138.8226143,143.9653194,164.1601158,176.9308628,183.9278576,162.7811582,,
Angola,AGO,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.92659894,157.3879079,106.7301539,120.9708349,142.0312197,131.3318636,142.14258,164.6941379,200.7237666,204.6536183,158.1730054,167.915247,162.4892803,191.4402533,184.4985674,195.7573466,185.8204006,,
Albania,ALB,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.2832662,274.9111802,293.3874837,310.0347026,347.713561,363.8490378,381.3466937,437.9444767,451.2494775,443.3147054,478.3147366,567.7738287,611.4662102,665.1191555,770.3358128,758.2315307,759.6669842,,
Andorra,AND,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3049.006182,3143.035127,3284.229419,3277.250934,3350.193786,3741.403935,3974.614953,4098.119984,3983.909073,3966.130048,3937.487418,4010.317432,4414.711486,4652.242023,4963.498214,5097.379868,4978.706602,,
Arab World,ARB,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.2113197,435.9486996,439.4555542,432.402854,446.0407437,446.4776492,478.4760696,515.4367809,520.4085715,638.619651,598.6598123,619.6403758,656.8251849,739.0469268,808.801032,891.3817608,1014.559222,,
United Arab Emirates,ARE,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1934.221631,1999.637308,2157.534851,2185.122197,2094.959651,1907.345437,1890.686428,1916.530881,2017.784573,2395.976862,2187.486005,2141.987861,2085.184881,2323.235498,2451.976896,2518.953468,2546.187603,,
Argentina,ARG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085.406934,1068.850437,847.4582346,867.0964626,869.2403656,1054.158183,1152.433128,1284.805319,1357.239137,1497.086996,1578.882089,1647.832709,1645.788348,1689.139315,1631.143137,1808.946147,1531.038361,,
Armenia,ARM,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.806546,170.8438488,171.8884088,198.1690718,331.7422584,335.5278496,313.3811065,359.6635269,315.6161549,296.5154758,345.7124182,265.2431296,513.4231255,661.3710618,854.6818227,883.0218072,876.8568566,,
American Samoa,ASM,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.3271372,627.441935,628.011241,688.1332741,682.6059356,817.7916301,956.0700957,1070.269172,1133.729689,919.2216888,1025.919862,1060.582266,998.6341268,1047.913251,1193.903464,1012.121609,976.3886597,,
Australia,AUS,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2147.538586,2269.455785,2428.973537,2548.363533,2747.115811,2833.417198,3007.780296,3177.694039,3295.701095,3555.068694,3596.379911,3770.496478,3792.066196,4179.088649,4305.781431,4423.480424,4529.887082,,
Austria,AUT,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2706.797312,2764.059563,2935.818715,3073.284674,3289.252247,3381.659809,3592.603843,3759.954102,4024.802579,4188.49746,4303.687127,4465.659366,4750.58155,4945.449742,5082.537056,5194.065652,5295.181772,,
Azerbaijan,AZE,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.2959371,144.0441285,161.366436,291.8536629,400.8245909,521.2645253,555.3233209,578.8759756,547.9771226,804.8156457,769.3924345,731.5627554,808.3088044,884.440994,982.5921853,1220.147713,1193.05883,,
Burundi,BDI,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.91669343,39.0102965,40.65328958,38.73557744,49.2708221,54.30778421,67.35785763,74.54211018,67.37743226,77.70989876,84.60976803,72.96622383,64.64938486,63.76696377,43.30175016,38.13249141,50.25423113,,
Belgium,BEL,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2225.130449,2354.432079,2524.578588,2813.86702,2926.742227,2998.061358,3147.550954,3289.826794,3550.148745,3814.100302,3965.672809,4143.999728,4300.805844,4487.719002,4623.648916,4604.543954,4667.882287,,
Benin,BEN,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.87373611,61.09458574,59.10136265,60.40756299,63.68171538,62.02448714,65.30399935,67.22420381,65.1510334,68.38219402,72.87557651,76.87787084,88.1992013,78.21596287,76.84985041,84.47116607,83.47636765,,
Burkina Faso,BFA,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.28363904,29.56552475,31.07485245,35.11216204,49.11584213,50.10642226,60.55804038,74.25167406,69.98747121,77.01776556,82.18229471,76.60246618,75.81807732,99.37187767,93.67117725,99.02623501,115.6043314,,
Bangladesh,BGD,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.61859734,28.5975474,32.37300016,34.47801294,37.4020307,41.77014433,46.31398115,51.7996813,53.83967657,58.00287523,64.1650749,70.98592192,75.75353212,77.89919804,83.18020527,88.04646301,90.59840433,,
Bulgaria,BGR,"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.4296,469.7248165,549.1356782,602.9598142,631.3979895,706.3641801,740.9923012,785.4869229,898.3372255,932.5406154,1058.474564,1115.260502,1227.33128,1301.960934,1485.731743,1481.014609,1577.942762,,
