Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.2131805,110.78818,109.44096,111.01083,109.2143,110.83905,111.37672,114.25115,115.21158,113.09161,113.80179,113.7943,105.2559,104.0871,116.0393,117.1081,,,,
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,31.17658997,32.00761032,32.26189041,32.58422089,33.10829926,34.18519974,35.23205185,36.11148834,37.63702011,,44.13336945,47.71170044,17.30882072,,21.99169922,23.91284943,25.85166931,,32.54500961,30.25200081,29.04141998,27.41422081,,29.10314941,40.00014114,42.75143051,,,31.05335045,25.30797005,20.95758,20.88291,68.98685,93.36218,104.66382,98.09989,101.69785,98.93351,100.77973,96.8964,100.0717,97.64164,103.4924,104.4984,105.9197,105.7785,,102.3105,
Angola,AGO,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,58.57027054,64.29821777,67.90733337,75.88877106,,,,,,142.7440948,123.5384216,114.4756699,103.9440231,91.82414246,73.3791275,79.39193726,79.46468353,77.86546326,77.59635925,73.03958893,66.80436707,64.24714661,,,,,,71.5319519,,,,,,,,,98.97358,105.18021,104.13057,105.781,119.5301,,,,113.478,,,
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,119.3297424,,114.9551926,112.1510696,107.4439697,104.9519577,103.52771,102.5664597,103.489357,103.6778336,103.5632095,101.4564209,99.5847702,99.43750763,99.45175171,101.2331467,99.55587006,98.52026367,101.5287933,104.0438385,106.3018188,108.0198822,107.1711578,105.7366486,104.19619,102.96737,101.41151,100.00514,98.178,100.67604,97.87571,96.34563,95.6825,93.10456,93.49047,95.00608,97.58513,99.98391,104.108,105.543,105.5539,107.0466,106.9934
Andorra,AND,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,88.56910706,,,,,,,,106.4426575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,67.26248932,67.35587311,68.89031219,70.11495209,70.43562317,71.76981354,73.52368927,74.38472748,74.66950226,76.44023132,77.6474762,77.83724213,78.67481232,79.51751709,80.46938324,80.41177368,81.15116119,82.35913849,82.84990692,82.76158905,83.3796463,83.86090851,81.35240936,81.9673996,84.55638123,83.37124634,85.66902161,86.30764008,86.8734436,88.01454926,88.6682663,89.46537018,90.67297363,91.65731049,92.04267883,92.56015015,93.54512787,94.05210876,94.95773315,95.28881073,96.01291,95.59116,97.51347,96.37268,95.9846,96.22816,96.11266,95.5207,95.66943
United Arab Emirates,ARE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,80.06475067,86.03884888,87.62931061,85.57173157,84.66589355,94.42565155,99.13986206,97.79495239,93.83696747,91.53472137,88.50283051,92.63960266,93.19242859,93.85443115,93.48903656,94.30541229,95.78286743,98.87886047,103.4955521,107.3393326,107.8380127,102.8578796,100.094017,100.3423462,101.0636292,98.07546997,93.89537811,90.36122894,,,,,,,,,101.58983,,,,,99.94344,98.66689,103.0735,111.5428,108.6727,122.265,
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,105.821312,106.5062866,106.0383072,105.5922318,106.3218613,106.0998917,105.7530594,106.6618576,106.2770996,106.7665787,106.8957672,107.6080093,107.836998,,106.028717,106.1743774,107.0245209,107.3918076,107.9663467,,106.9124298,108.9973907,,,110.970871,,110.2202225,107.0863037,111.5416565,114.4968719,115.69413,116.25017,116.79843,114.49467,115.80605,115.29915,117.2033,118.05111,118.59346,117.90598,116.9758,115.6147,114.2272,112.0119,111.4597,111.3034,110.7392,109.7415,
Armenia,ARM,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3454971,101.1409912,104.5680008,96.50575256,92.42475128,93.27529907,126.9002304,129.1640472,133.5714874,98.66373,102.13005,95.37494,94.19894,94.92137,95.44106,100.1558,113.28762,114.51868,110.84678,99.06499,98.47586,98.91774,98.44946,96.86599,95.00365,94.5179,94.08352,92.71525
American Samoa,ASM,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,71.00991821,89.29405975,,88.18997192,87.56102753,92.25512695,91.74373627,87.47202301,83.7525177,,,,,110.246727,,,,,,,,102.4008789,,,112.8563919,,,,,127.596,,,,,,,114.57859,114.20387,111.48903,112.293,110.5735,108.0302,,106.0467,104.9906,,103.669,105.0213
Australia,AUS,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,111.1978073,110.6436615,110.0000534,105.2374802,108.1844177,109.1571274,111.2183304,112.3266678,111.899353,111.0718765,109.6986008,108.576973,107.2148285,106.4361267,104.8901291,105.4382706,105.8602219,106.4890289,106.6846008,106.3717194,106.0968094,105.973999,105.8771667,105.8298874,101.2912674,101.5802917,101.1840286,100.9286194,100.6588364,100.72193,100.63978,101.54878,101.67431,102.26413,102.73932,103.30405,105.18305,105.14112,105.30213,105.6194,105.6897,105.9845,105.9939,105.4571,101.5999,100.7444,100.339,
Austria,AUT,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,103.2957764,102.7606735,101.1519089,100.0466766,99.68579865,99.24749756,99.49436951,97.31034851,96.78340149,96.23175049,96.39433289,97.27445221,97.07679749,97.07763672,96.60671997,99.10385895,100.9327774,103.7616196,105.5552826,105.3017273,104.1205521,103.9096909,103.3115768,102.4130783,102.3650436,102.3969116,102.8261032,103.6303406,103.7848511,103.67232,102.94747,101.25148,100.46382,100.72132,100.83262,101.55929,101.67125,100.72594,100.20248,99.78978,99.7387,100.5991,101.2101,101.6282,101.9975,102.2644,103.1132,
Azerbaijan,AZE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,112.8665619,,,,,120.9188614,,,114.4999466,114.6294174,113.9595108,112.5403976,111.2491837,113.0139313,113.2001266,93.50836182,94.54734039,92.87744141,95.48014069,97.20749,98.861,98.34943,96.21324,97.26133,95.52697,94.21666,94.7712,94.07247,95.06857,93.7623,95.57363,97.95531,100.5005,106.0599,106.6015,106.4317,103.2941,99.7221
Burundi,BDI,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,28.02779007,27.11585999,23.42506981,21.3785305,21.62042046,21.49477959,21.62425995,23.15823936,23.42642975,25.35235977,27.66345024,31.9795208,39.24034119,44.35522842,48.79425049,52.82965851,59.26837921,66.72789001,68.08557129,68.61554718,70.36089325,66.95545197,65.94577789,,49.31856155,38.41836929,39.77453995,47.49435043,56.22755814,58.00494,60.86331,65.64197,71.1733,76.26712,80.97311,102.9003,115.30829,122.94315,131.52274,137.1701,140.8289,139.1704,136.6323,134.2995,130.9034,128.0421,123.8596,121.4216
Belgium,BEL,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,108.4209824,107.2407379,101.2590637,103.5898132,103.8628922,104.6837234,104.9678268,104.8021088,104.076889,104.0397873,103.4817581,102.8406296,99.7097168,98.88648224,98.27522278,98.80319214,99.95233154,101.1880722,101.5594406,101.0585327,100.2859192,98.92967224,102.4577103,101.8241196,101.7954102,102.0151825,,,103.8236237,104.83442,104.07656,103.16723,102.36091,100.80021,100.46234,100.73419,101.53422,102.15756,102.12756,101.9242,101.9468,102.2561,103.822,103.6481,103.1558,103.3178,103.9056,
Benin,BEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,34.76330185,37.69520187,41.48698044,39.68721008,46.19219971,47.99074936,49.98651123,50.8070488,56.85902023,58.2569313,60.34756851,64.67790222,66.25,64.19848633,64.30680084,62.36632919,62.69433975,61.62556076,61.0979805,51.25492859,58.219841,61.41460037,66.49933624,66.8944397,70.24485016,72.65390778,76.38223267,79.4296875,79.58431244,82.52927,90.73641,96.16322,99.79704,103.72226,100.83883,101.2934,,113.18831,118.43397,120.152,122.726,127.2151,128.7361,129.5957,132.4668,130.9023,126.6461,121.9583
Burkina Faso,BFA,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,12.20559025,12.72924042,13.05107021,13.52604008,14.11697006,14.61450958,15.07215977,15.73085022,16.36038971,17.29207993,18.48386002,20.06352997,21.83786964,23.34259033,25.56904984,27.77662086,29.78624916,30.31632996,31.49872971,32.52550125,33.72296906,34.41490936,35.47658157,36.77635956,38.83546066,40.96957016,,43.31879044,44.28435135,45.01737,46.43783,47.05757,49.31104,53.8744,58.32719,62.06521,67.6691,73.22384,77.61482,78.01417,81.59491,84.09261,85.7184,87.33791,88.36616,91.11084,93.65313,96.09037
Bangladesh,BGD,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,56.26689911,52.05381012,64.5281601,76.71961975,75.04342651,79.98327637,81.35031128,75.57150269,74.02332306,72.82370758,71.61141205,70.34065247,71.59104156,73.02713013,71.79937744,69.8883667,69.50491333,68.42334747,80.45108795,80.41992188,83.79701233,,,,,,,,,,,,,,,101.64781,102.41615,101.62025,99.54293,102.92757,105.9745,,,,,,,,116.4663
Bulgaria,BGR,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,105.8317795,104.0001678,101.8075714,99.5549469,96.19117737,98.15101624,100.2810516,102.9670334,103.4934464,101.2339706,100.5986023,103.3431702,104.489563,106.3460312,107.0759811,104.7149963,105.6414032,103.4710693,101.3178635,94.68267822,93.58344269,93.58280182,94.46318054,95.55909729,97.58338928,101.0982895,102.3031769,103.1721878,103.330101,103.45403,104.4846,103.39814,104.63383,105.12685,103.3586,103.41791,106.84427,108.87175,109.68893,108.331,103.5849,100.3292,98.05494,96.66216,94.19827,91.08322,,
Bahrain,BHR,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,106.4893265,109.8236618,111.9706116,113.0048904,115.4149094,112.4263763,110.3399963,108.4435501,109.2044601,109.0933533,106.9794693,106.0514069,105.2855606,109.6343079,111.1008835,112.5088272,111.8895035,112.138031,112.7370987,110.3334122,111.4463577,107.906868,107.6867828,106.9723969,107.7029572,107.678833,107.7346115,107.7991333,107.8946304,104.96603,100.67704,100.74198,99.80986,98.38226,95.74598,98.41714,,,,,94.86897,95.34285,97.67428,99.72908,101.2005,101.0931,101.2131,99.36305
"Bahamas, The",BHS,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,101.7828293,99.90995026,96.3508606,99.34906769,102.4211502,103.4418564,105.0781631,106.163147,104.0758133,100.8967285,101.7971115,100.427063,100.8615112,95.93898773,105.4462738,106.6216583,,,,98.34101105,95.1213913,94.46095276,95.37963867,94.6088562,95.96749115,101.2487488,98.90213776,99.30194855,96.65512848,,,93.19962,,98.25661,100.39834,96.0583,98.39377,97.12063,91.60777,88.92873,94.53548,89.39271,82.44187,83.1912,86.22971,81.46426,,
Bosnia and Herzegovina,BIH,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,102.0722885,101.1263199,100.1865387,99.01777649,98.60719299,98.49095154,99.34810638,100.8003922,102.0333176,104.0153198,105.1116333,105.9454727,106.3648071,107.025032,107.7806625,108.8440018,94.79708862,94.83006287,94.08791351,94.08245087,96.2190094,95.89096069,97.53603363,97.38446045,98.24659729,98.93180084,99.97601318,102.225441,111.3961563,113.71677,114.99931,112.47116,102.3793,99.97945,98.43138,99.36716,101.78973,104.84638,105.94052,104.3697,102.1262,99.81443,98.20725,98.30412,99.14978,101.077,101.9658,100.5002
Belize,BLZ,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,113.3938675,111.3638382,111.0652695,110.5651779,,107.2613678,108.4702835,108.9589462,,109.262001,106.8145294,107.5948868,108.5352173,113.290947,113.8104477,112.5246201,113.926712,113.1033096,111.5556717,112.7352982,114.7413712,113.8160782,115.0652771,117.8465576,119.6816025,123.1245117,122.2979889,,119.0675125,115.91097,112.40404,107.26702,111.15116,112.8524,113.27096,113.68493,113.11683,112.33202,113.02994,112.5697,111.4016,113.7845,111.9575,111.5527,112.8883,114.4842,113.2306,111.6969
