Country_Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.79692078,96.51617,97.97287,100.52068,99.09117,97.25244,95.94176,97.35637,102.55975,94.64913,96.73602,95.82354,97.02788,111.1598,,,,,,
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,8.306420326,9.315270424,10.30276012,10.77583027,10.91069031,11.37271023,12.27649021,13.13156033,13.82176018,,16.76427078,19.32814026,10.59393024,,12.3710804,13.10009956,12.09805012,,13.2018404,12.65581036,10.84996033,15.5900898,,15.42397022,21.44198036,20.82245064,,,,,,12.32462,,12.54889,17.56808,18.61681,28.25587,28.49334,38.19398,44.42038,50.56725,51.75691,53.61805,53.57513,52.5829,52.59281,50.6454,53.79764,
Angola,AGO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,5.767479897,6.34224987,7.056640148,,,,,8.111060143,,10.68393993,13.76513958,9.689319611,8.707209587,10.65703964,8.989850044,10.12963963,9.746310234,8.178429604,9.058750153,8.403450012,8.934370041,10.09932995,,,,,,10.81927967,10.74742985,12.26628,13.85372,14.98359,,,,,,21.28946,22.69255,26.25922,26.48254,,,,,50.67148,,
Albania,ALB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,,,,,,84.97425842,,86.50982666,88.25524902,90.19371033,91.18641663,87.04559326,82.00112152,82.24952698,85.28296661,88.39248657,87.83217621,88.60356903,88.80329895,90.08174133,90.89363098,77.71475983,70.33512115,68.72905731,68.67848969,67.86755371,69.36618042,71.31360626,71.5446701,71.07808,72.53716,72.86855,75.24344,74.80221,77.90939,79.18955,82.20059,84.12509,85.69499,88.10389,89.79816,92.28983,96.25608,97.68487,97.38848,95.715,95.26589,95.43233
Andorra,AND,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,15.36828995,14.71605968,13.81630993,17.33540916,25.93453026,34.13827133,,,,,,,49.43996811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,26.07958984,26.23578072,26.68959045,27.65990067,28.63414955,30.19062996,31.92164993,33.94915009,35.9054985,37.47069931,38.71899033,39.6199913,41.2359314,42.45932007,43.87358093,45.48859024,47.50054169,48.75970078,49.29457855,50.04259872,52.89913177,52.97851181,51.76150131,52.43685913,54.45597076,54.44493103,54.39281082,55.75328827,57.20930862,58.74998856,60.05350113,61.5170517,62.59320068,64.30119324,65.96911621,65.82756042,65.49965668,64.36051178,64.7199707,66.29560089,67.38104,69.77822,70.77455,69.54931,70.08743,70.65734,71.13625,71.9075,72.33986
United Arab Emirates,ARE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,19.33243942,20.2607708,19.43058014,17.11923027,20.25925064,29.18272972,30.66062927,32.23854065,37.28166962,44.66725922,52.5365715,55.81095886,59.12768936,63.55963898,66.25673676,67.41887665,59.95046997,57.76147842,58.35514832,60.82873154,65.48999023,68.19394684,72.10059357,77.72505951,81.7537384,,79.06778717,79.17507935,,,,,,,,,,,,,,,,,,95.34329,104.9479,
Argentina,ARG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,44.81985092,45.82767105,47.54899979,49.91176987,52.63312912,54.19427872,55.63600922,55.54570007,55.44947815,55.26866913,56.16939163,57.42667007,59.16987991,59.78237915,65.27954102,70.21240997,70.09198761,69.81562805,70.3232193,,71.48957825,72.31278992,,,69.64543152,,78.87084961,75.34275818,81.25853729,92.60516357,95.93661,96.84547,95.8991,94.96169,94.50717,92.76067,91.81353,91.91613,93.23705,96.61971,99.50126,101.535,103.4765,105.0414,106.0356,106.9465,108.4623,108.7336,
Armenia,ARM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.10370636,92.32685852,94.74469757,96.62906647,,93.33640289,93.23616028,80.43602753,80.05667877,92.15199,88.28202,,,89.34573,92.05428,94.94133,96.42764,94.97048,100.12562,104.7133,93.13488,,85.89755,85.88351,86.00589,,,83.15068
American Samoa,ASM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
