,Series,k,Mean,stdDev
1,1,3,2.605187100345911,3.0566217124835524
2,2,3,2.4374045604402514,2.5749240022565147
3,3,3,2.5522760559433957,2.906622681845631
4,4,3,2.272244841603774,2.5560422110376617
5,5,3,2.018359344150943,1.6843251651994413
6,6,3,1.775199297389937,1.963884494231573
7,7,3,2.6635429883333317,3.2673888845786543
8,8,3,2.8243041903773585,2.958211924980815
9,9,3,2.44138133201258,1.9887664677444798
10,10,3,2.713358462578617,3.145124245921786
11,1,6,2.631129854748427,3.0629767935845886
12,2,6,2.274380382468553,1.9219420590478598
13,3,6,2.3652520959276724,2.846121526389114
14,4,6,2.3337783756603776,2.7440024451245137
15,5,6,1.9657590355503136,1.7077206188537608
16,6,6,1.865838655691823,1.9303818460813067
17,7,6,2.5543828771855344,3.192943325503027
18,8,6,2.540233695471698,2.4808219537419096
19,9,6,2.451460087657234,2.1578547941627875
20,10,6,2.627644372971699,2.881616624719511
21,1,9,2.59719659871069,3.0835451902842177
22,2,9,2.2210790054821805,1.9132014882978374
23,3,9,2.2006898750524115,2.7664957235362486
24,4,9,2.1024610324737942,2.511717049551335
25,5,9,1.8885102185010472,1.6576757112451768
26,6,9,1.843623739528301,1.7748955177923105
27,7,9,2.5059647621802936,3.2046970155454573
28,8,9,2.51838038216981,2.4363351662311064
29,9,9,2.564578550964362,2.3346019407613303
30,10,9,2.6263687710587003,3.010949252437507
31,1,12,2.5256479505188674,2.939019014167447
32,2,12,2.189406726226415,1.8366049281908223
33,3,12,2.151733424347485,2.7510883914472224
34,4,12,2.02148649658805,2.3465285835132472
35,5,12,1.7604319957232697,1.4596178437760947
36,6,12,1.9139711438286162,1.7506032750145357
37,7,12,2.4661259341509423,3.11674664992481
38,8,12,2.3979327410298747,2.1607892339758368
39,9,12,2.55038276875,2.2619084231854742
40,10,12,2.619815998781446,2.9410173380898113
41,1,15,2.4776779102767286,2.8979055679227046
42,2,15,2.1866582980817624,1.8165206044705515
43,3,15,2.137618334345911,2.7035636456922956
44,4,15,1.9715654200062893,2.249088695557386
45,5,15,1.770893892132074,1.4589373538030326
46,6,15,1.833524195962264,1.7473631348461396
47,7,15,2.3977568529496844,3.115906254838849
48,8,15,2.3086452640566035,2.0573862257063515
49,9,15,2.4938558996163525,2.0881402520481847
50,10,15,2.5265126709308174,2.8483266413616355
51,1,18,2.445553957264151,2.904011333589772
52,2,18,2.2326226277358496,1.884338090063148
53,3,18,2.0986919522327043,2.6585518995142476
54,4,18,1.9856864677830186,2.2350186598253465
55,5,18,1.6841982918501033,1.365478430153897
56,6,18,1.798217811907754,1.7566523715541822
57,7,18,2.3871373647641514,3.077391502572717
58,8,18,2.319461015272538,2.06883346046809
59,9,18,2.4927453337473797,1.982303806144112
60,10,18,2.441178697762054,2.843204678253551
61,1,21,2.419175914353101,2.8730251295440774
62,2,21,2.2025971013836485,1.8357121265078513
63,3,21,2.0632569624977526,2.6811538480897
64,4,21,2.012772056266846,2.29395171084946
65,5,21,1.6206147135085345,1.2451867629799762
66,6,21,1.834131867385443,1.8311132344230998
67,7,21,2.3778794739892177,3.1031510634660067
68,8,21,2.277680799164421,2.0954557461293173
69,9,21,2.4741327796226407,1.9482184691243059
70,10,21,2.3980605855076376,2.8289891978769046
71,1,24,2.3854088072366353,2.893623941275899
72,2,24,2.2427673977437097,1.8257576422241188
73,3,24,2.013912776863207,2.687220543119268
74,4,24,1.9771080845597484,2.2809396054390185
75,5,24,1.559667653140722,1.2683806426196576
76,6,24,1.8034895802908784,1.8294606863732694
77,7,24,2.3538599298309744,3.137301008951878
78,8,24,2.2460579239858496,2.09368161419021
79,9,24,2.4845276382193395,1.9838723523181223
80,10,24,2.3467051517885222,2.829190960894743
81,1,27,2.3770399808350806,2.903276390981409
82,2,27,2.2429516051327734,1.8672758548359234
83,3,27,2.011780294315164,2.69788982379223
84,4,27,1.9754810103983234,2.2975255401727437
85,5,27,1.5585896222781248,1.2749555174268432
86,6,27,1.7994412618483575,1.8425184246348256
87,7,27,2.3599505879594687,3.1619438842935477
88,8,27,2.2038676798148145,2.0460828540618943
89,9,27,2.4940155905241097,2.0034138615238586
90,10,27,2.3542324345352905,2.818742092805704
91,1,30,2.3687492262610057,2.9370557000883446
92,2,30,2.2437744993553452,1.8781561695172884
93,3,30,1.9901014461163538,2.72457330864
94,4,30,1.9664547648584905,2.3329919764299887
95,5,30,1.586040998182389,1.318588973876623
96,6,30,1.7900117473490553,1.9167202929435028
97,7,30,2.3485569099308177,3.150347347064695
98,8,30,2.1871624362955973,2.0826902627775064
99,9,30,2.506916163801886,1.9945796141876448
100,10,30,2.345917830427675,2.8488931377548936
